AuthorID,Author,Date,Content,Attachments,Reactions
"145867449105907712","Ahmed4119#3690","17-Nov-19 04:55 AM","db.execute('INSERT INTO students (first, middle, last, house, birth) VALUES (?, ?, ?, ?, ?)', name[0], None, name[1], i['house'], i['birth'])","",""
"145867449105907712","Ahmed4119#3690","17-Nov-19 04:56 AM","Is this the proper way of putting NULL in sql db through python CS50 module ?","",""
"145867449105907712","Ahmed4119#3690","17-Nov-19 04:56 AM","Because when i typed SELECT middle FROM students; in sqlite3","",""
"145867449105907712","Ahmed4119#3690","17-Nov-19 04:56 AM","I got this","",""
"145867449105907712","Ahmed4119#3690","17-Nov-19 04:56 AM","middle








Lucius

Molly


James
Jean


















Bilius","",""
"145867449105907712","Ahmed4119#3690","17-Nov-19 04:57 AM","many white spaces, Should that be the result ?","",""
"393854278764068875","curiouskiwi#1671","17-Nov-19 04:58 AM","yes","",""
"145867449105907712","Ahmed4119#3690","18-Nov-19 05:23 AM","Thanks ^_^","",""
"112625916781277184","yama#2710","16-Dec-19 03:55 PM","opened students.db with sqlite3 and doing `SELECT * FROM students;` returns nothing","",""
"112625916781277184","yama#2710","16-Dec-19 04:08 PM","oh lmao i guess there's nothing in it yet","",""
"166251424873709570","Grimrath#0353","02-Jan-20 11:11 PM","I'm having trouble inserting NULL into a column with db.execute("""").  From what i gather from the documentation you simply enter NULL as the value when inserting into the database. But I get NULL as the return value while check50 expects None. 
Can someone please point me in the right direction?","",""
"393854278764068875","curiouskiwi#1671","02-Jan-20 11:19 PM","presumably, you've got some variable names like `first`, `middle`, `last`, that you are using to populate the rows?  I'd set `middle=None` if  there is no middle name for that row.","",""
"166251424873709570","Grimrath#0353","03-Jan-20 10:40 AM","Because None is the Python equivalent to SQL's NULL and that must be used when using :variables in an sql.execute command?
`db.execute(""INSERT INTO table (col1, col2) VALUES (:value1, 'value2')"",`
`           value1=None)`

But when using sqlite3 I need to type out NULL?
`INSERT INTO table (col1, col2) VALUES (NULL, 'value2');`","",""
"166251424873709570","Grimrath#0353","03-Jan-20 11:14 AM","I just got on my computer and could test it and this is indeed the case. setting :value1=""NULL"" will just insert the string literal ""NULL"", not a NULL value. It's so easy to feel stupid sometimes. Thanks a bunch for your help @curiouskiwi much appreciated!","",""
"333930283101323264","Anya L#2162","04-Jan-20 01:15 AM","Does this version of sqlite take AUTO_INCREMENT on table creation? I tried to use it (in syntax AUTOINCREMENT too), but it throws an error. Should I look for a mistake on my end, or is this feature just unavailable?","",""
"393854278764068875","curiouskiwi#1671","04-Jan-20 05:52 AM","@Anya L yes, it does.  You shouldn't be creating any tables in this Houses problem, but if you look at the schema for the students table that was created for you:  ```CREATE TABLE characters (
    id INTEGER PRIMARY KEY AUTOINCREMENT,
    first VARCHAR(255),
    middle VARCHAR(255),
    last VARCHAR(255),
    house VARCHAR(10),
    birth INTEGER
);
```  you can see that it has used AUTOINCREMENT for the `id` column.","",""
"333930283101323264","Anya L#2162","04-Jan-20 09:42 AM","Huh, it might not have liked the order of commands then... 
Well, it says in the task that we can assume all columns except ""middle"" will be filled in - and I was like, it's a challenge to make them NOT NULL, of course :) Anyway, I've submitted it without AUTOINCREMENT for full points and will experiment some more in my own time. Thank you for letting me know what's what, @curiouskiwi!","",""
"393854278764068875","curiouskiwi#1671","04-Jan-20 09:45 AM","@Anya L still unsure why you are creating any new tables.  There's no reason to do so for this problem.","",""
"333930283101323264","Anya L#2162","04-Jan-20 09:46 AM","@curiouskiwi To see if I can is not good enough? *pouts*","",""
"393854278764068875","curiouskiwi#1671","04-Jan-20 09:47 AM","go for it! 🙂","","😜 (1)"
"494833253166088192","saleh#5557","05-Jan-20 03:58 PM","hello","",""
"494833253166088192","saleh#5557","05-Jan-20 04:01 PM","i cant figure out what's wrong with my import.py code, it creates the students table but is unable to insert the data from the csv file","",""
"494833253166088192","saleh#5557","05-Jan-20 04:01 PM","shall i send the code here for u guys to see?","",""
"393854278764068875","curiouskiwi#1671","05-Jan-20 07:37 PM","your import.py should not be creating any tables.","",""
"333930283101323264","Anya L#2162","05-Jan-20 09:43 PM","Oops, I might have confused ppl. Don't go creating any tables unless you actively want to! And if you do, make sure your id field is either autoincremented or filled in by your loop; it won't insert data otherwise.","",""
"575580654352334848","Dhairye Kataria#8587","09-Jan-20 04:34 AM","Has anyone completed roster.py","",""
"634578357371011092","beinginvisible#2912","10-Jan-20 07:27 PM","my import.py function is working perfectly but I can't figure out how to SELECT and print the data in roster.py. I can't tell if my connection is working or not. Is there a way to test if the sql is connecting to the python code? Or maybe my problem is that I'm not properly printing the list of dicts being returned (but I have tried so 100s of different ways of printing the SQL results so I doubt its my printing of the list) Here is my code so far:     from cs50 import SQL
from sys import argv, exit

db = SQL(""sqlite:///students.db"")

if len(argv) != 2:
    print(""needs one and only one command line arg"")
    exit(1)

    rows = db.execute(""SELECT * FROM students"")


    for x in rows:
        for i in rows[x]:
            print (rows[x][i])","",""
"333930283101323264","Anya L#2162","10-Jan-20 07:45 PM","@beinginvisible This is not how loops in Python work; x is not an index, it's an element. E.g. 
```for student in students:
    print(student)  #-> prints out element of the list```
And don't forget that your database has structure - using it will make your life easier, not harder.","",""
"634578357371011092","beinginvisible#2912","10-Jan-20 08:00 PM","@Anya L Thanks Anya.  But, I have tried this iterative loop as well too and to no avail though. I was hoping that the [x] would be interpreted as a key. But I guess it is acting as an index.    By structure do you mean columns and rows?","",""
"333930283101323264","Anya L#2162","10-Jan-20 08:14 PM","@beinginvisible Yes. And I believe, in lecture, David shows what is used to identify fields/columns, so you can figure out what syntax to use to access them, and how to plug them into your print statement. Hint: no numbered indexes need to be involved at all","",""
