AuthorID,Author,Date,Content,Attachments,Reactions
"601115022822735893","maverick#4822","03-Nov-19 08:16 PM","Can anyone help me with the 13.sql query","",""
"145867449105907712","Ahmed4119#3690","15-Nov-19 01:45 PM","||SELECT COUNT(DISTINCT people.name) FROM people JOIN stars ON stars.person_id = people.id JOIN movies ON stars.movie_id = movies.id WHERE movies.year = 2004 ORDER BY people.birth, people.name;||","",""
"145867449105907712","Ahmed4119#3690","15-Nov-19 01:45 PM","Can i know what's wrong with 9.sql sql line above","",""
"145867449105907712","Ahmed4119#3690","15-Nov-19 01:46 PM","it returned me 17965 rather than 18,013 expected in the assignment ?","",""
"145867449105907712","Ahmed4119#3690","15-Nov-19 01:46 PM","by those numbers i mean rows","",""
"393854278764068875","curiouskiwi#1671","15-Nov-19 08:25 PM","there may be different people with the same name and you're removing them with your DISTINCT","",""
"112625916781277184","yama#2710","26-Nov-19 10:38 PM","|| `SELECT title, rating FROM movies, ratings WHERE year = 2010 ORDER BY rating DESC, title ASC;` || what's wrong with this statement? From 7.sql","",""
"393854278764068875","curiouskiwi#1671","26-Nov-19 10:44 PM","you have to use a JOIN in order to match the movie id in ratings to the id in movies","",""
"112625916781277184","yama#2710","26-Nov-19 11:35 PM","ah right. Do you have any clue why executing that consumed like 15gb of hdd space?","",""
"112625916781277184","yama#2710","26-Nov-19 11:35 PM","that were freed up when i cancelled it","",""
"393854278764068875","curiouskiwi#1671","26-Nov-19 11:38 PM","pretty sure it was trying to output a multiplication of both tables and given there are thousands of rows in each, that would be a lot","",""
"112625916781277184","yama#2710","26-Nov-19 11:46 PM","hah","",""
"112625916781277184","yama#2710","27-Nov-19 05:12 AM","|| ```sql
sqlite> SELECT stars.person_id FROM stars
   ...> JOIN stars ON stars.movie_id=movies.id
   ...> WHERE movies.name='Toy Story';
Error: ambiguous column name: stars.person_id
``` || I'm so confused","",""
"393854278764068875","curiouskiwi#1671","27-Nov-19 05:18 AM","don't you want to join movies?","",""
"112625916781277184","yama#2710","27-Nov-19 05:22 AM","I'm trying to break it down, I'm sure I'm doing something wrong but the error messages are not being helpful. Now I'm trying something else and I keep getting `no such column: stars.movie_id` when clearly it exists cause I can see it in the schema","",""
"112625916781277184","yama#2710","27-Nov-19 03:57 PM","9.sql
|| ```sql
SELECT COUNT(DISTINCT(people.name)) FROM people
INNER JOIN stars ON stars.person_id = people.id
INNER JOIN movies ON stars.movie_id = movies.id
WHERE movies.year='2004'
ORDER BY people.birth ASC;
```
||
This is giving me 17965 instead of 18013","",""
"393854278764068875","curiouskiwi#1671","27-Nov-19 07:53 PM","what if 2 or more people share the same name?  perhaps using DISTINCT isn't the right approach. @yama","",""
"112625916781277184","yama#2710","30-Nov-19 04:36 PM","@curiouskiwi you tripped me up, cause changing || `people.name` to `people.id` worked with `DISTINCT`||","",""
"112625916781277184","yama#2710","30-Nov-19 04:38 PM","tho the first part of what you said was helpful","",""
"112625916781277184","yama#2710","30-Nov-19 05:02 PM","pretty much lifted this from stackexchange but it feels like it's not the best solution to 12
|| ```sql
SELECT title FROM movies
JOIN stars ON stars.movie_id = movies.id
JOIN people ON stars.person_id = people.id
WHERE (people.name = 'Johnny Depp' OR people.name = 'Helena Bonham Carter')
GROUP BY title
HAVING count(*) = 2;
``` ||","",""
"112625916781277184","yama#2710","04-Dec-19 11:58 PM","13.sql
|| ```sql
SELECT COUNT(name) FROM people
JOIN stars ON stars.person_id = people.id
JOIN
(
    SELECT * FROM movies
    JOIN stars ON stars.movie_id = movies.id
    WHERE stars.person_id = '102'
) AS KevinBaconFilms ON stars.movie_id = KevinBaconFilms.id
WHERE stars.person_id IS NOT '102';
``` ||
I know I'm supposed to get kevin bacon's id some other way instead of hardcoding the id that i searched manually, but I can't figure out why this results in 183 instead of 176","",""
"166251424873709570","Grimrath#0353","02-Jan-20 04:54 PM","I got 183 hits on 13.sql instead of the listed 176 but submit50 said it was correct. Is the testing information incorrect or is check50 missing something?","",""
"393854278764068875","curiouskiwi#1671","02-Jan-20 08:33 PM","check50 is using a different database, so whatever condition your sql is hitting that causes the extra hits isn't in that database.  I'd suggest you keep trying.","",""
"393854278764068875","curiouskiwi#1671","02-Jan-20 08:40 PM","One possible idea is to build the SELECT that gives you the IDs of everyone including Kevin Bacon. After that, you can SELECT names for all the IDs that are both in that list and aren't Kevin Bacon's ID.   (I find Nested SELECTs work well for this, rather than JOINs)","",""
"166251424873709570","Grimrath#0353","02-Jan-20 11:03 PM","Apparently some actors had made more than one movie with Kevin creating double entries. Fixed now! 🙂","",""
"632905283466690560","⏤͟͟͞★RAZΞR || ßØØŁĶ#6306","03-Jan-20 05:56 PM","13.sql","",""
"634578357371011092","beinginvisible#2912","07-Jan-20 08:34 PM","Can anyone help me with 12.sql? I think my main problem is that I'm trying to call the same column twice which causing a conflict. Does anyone have a keyword to use for this?","",""
"662071343868674061","Samsara#8776","07-Jan-20 08:59 PM","Hi all, I am just starting on this and I can't get my code to execute on 1.sql. I followed the instructions exactly and my code is just one line. Is this correct: $ cat 1.sql | sqlite3 movies.db","",""
"662071343868674061","Samsara#8776","07-Jan-20 08:59 PM","The code is just: SELECT title FROM movies WHERE year=2008;","",""
"662071343868674061","Samsara#8776","07-Jan-20 09:01 PM","It works on phpadmin but not on the command line","",""
"634578357371011092","beinginvisible#2912","07-Jan-20 09:23 PM","@Samsara are the databases loaded onto your computer? are you executing the file in the proper directory?","",""
"662071343868674061","Samsara#8776","07-Jan-20 09:47 PM","@beinginvisible I am on the cs50 IDE and i followed the instructions as is on the pset7 instructions.","",""
"393854278764068875","curiouskiwi#1671","07-Jan-20 09:52 PM","@Samsara what exactly happens?","",""
"662071343868674061","Samsara#8776","07-Jan-20 10:05 PM","@curiouskiwi  I just get this: ...> $ cat 1.sql | sqlite3 movies.db
   ...>","",""
"662071343868674061","Samsara#8776","07-Jan-20 10:06 PM","I am currently using DB browser and php admin to test but want to find out if there's a way for it to work at the command line as above","",""
"634578357371011092","beinginvisible#2912","07-Jan-20 10:07 PM","@Samsara did the schema command work?","",""
"662071343868674061","Samsara#8776","07-Jan-20 10:07 PM","@beinginvisible yes it did","",""
"634578357371011092","beinginvisible#2912","07-Jan-20 10:07 PM","if not then ur database isn't being loaded","",""
"662071343868674061","Samsara#8776","07-Jan-20 10:07 PM","@beinginvisible but only once, it does not work now","",""
"634578357371011092","beinginvisible#2912","07-Jan-20 10:08 PM","hum ok. sorry. i just loaded it into DB browser.","",""
"634578357371011092","beinginvisible#2912","07-Jan-20 10:09 PM","well i think u should make sure schema is a running","",""
"662071343868674061","Samsara#8776","07-Jan-20 10:10 PM","I just started all over. Schema works everytime but once i execute: cat 1.sql | sqlite3 movies.db evrything stops working","",""
