AuthorID,Author,Date,Content,Attachments,Reactions
"507392187223244801","jasonlee#1523","10-Nov-19 07:10 AM","","https://cdn.discordapp.com/attachments/637481108082130964/642954148869832715/SPOILER_unknown.png",""
"507392187223244801","jasonlee#1523","10-Nov-19 07:10 AM","having a real rough time understanding this first function that I am ought to write..","",""
"507392187223244801","jasonlee#1523","10-Nov-19 07:10 AM","could anyone give me a slight hint of what should be written?","",""
"507392187223244801","jasonlee#1523","10-Nov-19 07:11 AM","not sure how to conjoin these `voter`, `preference`, and `candidate`","",""
"507392187223244801","jasonlee#1523","10-Nov-19 07:11 AM","preference[voter][preference] = [candidate]","",""
"507392187223244801","jasonlee#1523","10-Nov-19 07:12 AM","this sounds rather bizarre too, I am getting really anxious on this problem","",""
"393854278764068875","curiouskiwi#1671","10-Nov-19 07:31 AM","remember you can't use `==` to test if 2 strings are the same.","",""
"393854278764068875","curiouskiwi#1671","10-Nov-19 08:18 AM","also, you are given the voter and the rank and the candidate's name, so you need to find the candidate's index value, and set the preference[voter][rank] array to that candidate.   The preferences array is declared as `int preferences[MAX_VOTERS][MAX_CANDIDATES];`  where for example, preferences[3][2] might be set to 4 if the voter 3 has candidate 4 as her 3rd choice (so rank is 2).","",""
"507392187223244801","jasonlee#1523","11-Nov-19 11:09 PM","thanks @curiouskiwi","",""
"507392187223244801","jasonlee#1523","11-Nov-19 11:09 PM","I will do more reading on the material","",""
"507392187223244801","jasonlee#1523","11-Nov-19 11:15 PM","","https://cdn.discordapp.com/attachments/637481108082130964/643559338815782913/SPOILER_unknown.png",""
"507392187223244801","jasonlee#1523","11-Nov-19 11:15 PM","would this perhaps be the logic you are talking about?","",""
"507392187223244801","jasonlee#1523","11-Nov-19 11:20 PM","in fact...","",""
"507392187223244801","jasonlee#1523","11-Nov-19 11:20 PM","following the formula `preference[x][y] = z`","",""
"507392187223244801","jasonlee#1523","11-Nov-19 11:20 PM","","https://cdn.discordapp.com/attachments/637481108082130964/643560803693232156/SPOILER_unknown.png",""
"507392187223244801","jasonlee#1523","11-Nov-19 11:21 PM","this would actually make sense..","",""
"393854278764068875","curiouskiwi#1671","11-Nov-19 11:22 PM","you need to review the strcmp syntax, but that's the idea.","",""
"507392187223244801","jasonlee#1523","11-Nov-19 11:23 PM","oops. yes.","",""
"507392187223244801","jasonlee#1523","11-Nov-19 11:23 PM","strcmp( x, y) == 0","",""
"507392187223244801","jasonlee#1523","11-Nov-19 11:51 PM","","https://cdn.discordapp.com/attachments/637481108082130964/643568407551148042/SPOILER_unknown.png",""
"507392187223244801","jasonlee#1523","11-Nov-19 11:51 PM","I am assuming that both `candidates[i].name` and 'name` should be strings. Is `==0` part throwing the error in this instance?","",""
