AuthorID,Author,Date,Content,Attachments,Reactions
"223209116082896896","Ampny#7644","01-Jan-20 04:47 AM","nice","",""
"659652830629462046","Darren11235#0402","04-Jan-20 05:35 AM","I am trying to reproduce the error:  handles duplicate characters in key
timed out while waiting for program to exit. All other test pass. I have tried using a key that has duplicate values, but no error. Thanks","",""
"393854278764068875","curiouskiwi#1671","04-Jan-20 05:47 AM","when you used a key with duplicate values, did you program immediately print an error and return, per the spec?","","👍 (1)"
"659652830629462046","Darren11235#0402","04-Jan-20 05:48 AM","Thanks! I did not read the spec well enough. Easy fix.","",""
"393854278764068875","curiouskiwi#1671","04-Jan-20 05:54 AM","If the key has duplicates, how would you ever decode a message? 🙂","",""
"176843980481363969","Kingsbirds#7994","04-Jan-20 08:20 AM","I'm sure I'm missing something obvious, but can anyone tell me why this works (adding the lowercase ASCII value to a sum, unless it is 'a', in which case it just adds 1), but the next snippet doesn't?","https://cdn.discordapp.com/attachments/637499897523994654/662903201896464386/SPOILER_unknown.png",""
"176843980481363969","Kingsbirds#7994","04-Jan-20 08:22 AM","going through the debugger for this step, when it hits the if condition, it says that argv[1][i] = 46 or '.' and so the if loop doesn't trigger","https://cdn.discordapp.com/attachments/637499897523994654/662903786528047124/SPOILER_unknown.png",""
"176843980481363969","Kingsbirds#7994","04-Jan-20 08:23 AM","But if you printf the value of argv[1][i] right before the if loop checks, it prints as 'a' (or 97 if I print as an int)","",""
"176843980481363969","Kingsbirds#7994","04-Jan-20 08:24 AM","and the else condition adds the ""correct"" amount, in that when the if loop doesn't execute, it adds the ascii amount for a to the sum","",""
"176843980481363969","Kingsbirds#7994","04-Jan-20 08:25 AM","yet for some reason, assigning argv[1][i] to a variable, and then checking it works? What obvious thing am I missing ahah?","",""
"393854278764068875","curiouskiwi#1671","04-Jan-20 08:54 AM","I can't see why the second wouldn't work.","",""
"176843980481363969","Kingsbirds#7994","04-Jan-20 09:29 AM","That was my exact frustration! The 2nd felt like better design, but I couldn't understand why it didn't work","",""
