AuthorID,Author,Date,Content,Attachments,Reactions
"256104011512545280","Magdiel#9311","27-Jan-20 09:49 PM","Am I the only one who feels like the Lesson 2 video goes insanely fast? I've watched it twice, but half the terms and concepts fly over my head.

Should I just go study Java fundamentals on my own before going into it? I haven't been this bewildered since Week 1...","","💯 (1),👍🏿 (1)"
"109970729109323776","jackshow#0001","31-Jan-20 01:29 PM","","https://cdn.discordapp.com/attachments/661709144134516766/672765433530810378/unknown.png",""
"109970729109323776","jackshow#0001","31-Jan-20 01:29 PM","","https://cdn.discordapp.com/attachments/661709144134516766/672765508969299989/unknown.png",""
"109970729109323776","jackshow#0001","31-Jan-20 01:30 PM","what do i do","",""
"109970729109323776","jackshow#0001","31-Jan-20 01:40 PM","I cant make the menu folder as a menu resource","",""
"109970729109323776","jackshow#0001","31-Jan-20 01:40 PM","I followed every part of the installation of android studio, and imported the project as directed","",""
"210225382937329684","Andrew just andrew#6655","07-Feb-20 03:54 PM","Wait is this a project we need to do?","",""
"210225382937329684","Andrew just andrew#6655","07-Feb-20 03:54 PM","@jackshow","",""
"109970729109323776","jackshow#0001","07-Feb-20 03:55 PM","no u can pick","",""
"210225382937329684","Andrew just andrew#6655","07-Feb-20 03:56 PM","It sounds cool as heck","",""
"393854278764068875","curiouskiwi#1671","07-Feb-20 09:08 PM","@Andrew just andrew if you choose the Android track in the last 2 weeks, then yes, this is a required problem.","",""
"210225382937329684","Andrew just andrew#6655","07-Feb-20 10:02 PM","Wow","",""
"477806359317053443","rkdunlop#2764","18-Feb-20 03:16 AM","anyone able to add log statements in the code, i can't get any to show up, am trying to place them so i can see why i'm not getting my filter results","",""
"167593654452617216","Cellico#2608","19-Feb-20 07:46 PM","wow umm","",""
"167593654452617216","Cellico#2608","19-Feb-20 07:46 PM","lesson 1 is really really thick in content","",""
"167593654452617216","Cellico#2608","19-Feb-20 07:46 PM","and the first like 20 mins of him explaining java syntax is really difficult to follow","",""
"167593654452617216","Cellico#2608","19-Feb-20 07:46 PM","for me","",""
"167593654452617216","Cellico#2608","19-Feb-20 07:46 PM","this is gonna be a confusing route","",""
"167593654452617216","Cellico#2608","19-Feb-20 07:49 PM","if i could give any feedback, i would prefer a longer video but more detailed in-depth explanations","",""
"167593654452617216","Cellico#2608","19-Feb-20 09:07 PM","alright after watching it 3 times i finally understood most of it","",""
"256104011512545280","Magdiel#9311","20-Feb-20 08:20 PM","Highly suggest y'all go brush up on Java and the Android API before you go into the Android track.","",""
"256104011512545280","Magdiel#9311","20-Feb-20 08:20 PM","It's helped me out a lot, at least.","",""
"256104011512545280","Magdiel#9311","20-Feb-20 08:56 PM","There are plenty of Java tutorials out there, and Google has it's own set of codelabs to get you familiar with Android Studio and the API in general.","",""
"611277909604171776","pugzy711#2491","28-Feb-20 09:11 PM","I agree @Magdiel ! I took the udacity object oriented programming in java course and the developing android apps course. Both are very easy and well explained and can be done in a few days total. Then when you revisit the track it makes much more sense and becomes much easier to follow!","",""
"611277909604171776","pugzy711#2491","29-Feb-20 01:36 AM","Almost done with Pokédex... but been struck on the filtering. When I run it, the screen is blank and the Pokémons only show up when I search. I can’t figure out what I need to do to display the original list before the search. I tried an id statement (if constraint is null then results.values = pokemon) but that didn’t make a diff. Any ideas what else I need to do?","",""
"611277909604171776","pugzy711#2491","29-Feb-20 01:36 AM","*if","",""
"167593654452617216","Cellico#2608","29-Feb-20 08:57 PM","sigh... this is the last ""week"" and i have lost a lot of motivation to complete this because of the huge jump in difficulty and also because of some personal issues in my life","",""
"167593654452617216","Cellico#2608","29-Feb-20 08:57 PM","but i really want to finish this","",""
"167593654452617216","Cellico#2608","29-Feb-20 08:57 PM","gotta set a deadline for myself and get myself together","",""
"681584996103749683","chaos_pear#1509","01-Mar-20 12:38 AM","I thought I was the only one struggling! CS50 has been hard in the past but with this track I feel so much out of my depth. I'm halfway done with Pokedex, working on loading the pictures now, but I stumbled through the initial parts with loads of struggle. Half of the time I have no idea what I'm doing.","",""
"681584996103749683","chaos_pear#1509","01-Mar-20 12:49 AM","@pugzy711  I used a similar logic to you, except I ||initially set the list filtered to be pokemon and this is then later updated to actually only contain filtered values in publishResults. That way it's never empty.||","",""
"611277909604171776","pugzy711#2491","01-Mar-20 01:05 AM","@chaos_pear yeah exactly  !! I just added that (filtered = Pokémon ) to the load Pokémon method, and it worked!! Does it matter where I assign it to Pokémon ?  ? Do I need to do it at the beginning  ? Thanks for answering !!","",""
"611277909604171776","pugzy711#2491","01-Mar-20 01:09 AM","I was wondering how do I hide the text ? :))) the basics I need to learn ...","",""
