AuthorID,Author,Date,Content,Attachments,Reactions
"531961213681270794","Spylee01#9961","18-Jan-20 05:21 AM","Hi, is there any way for me to access a specific updates distro?","",""
"531961213681270794","Spylee01#9961","18-Jan-20 05:21 AM","For mario 3 I need the distro for the protgen","",""
"531961213681270794","Spylee01#9961","18-Jan-20 05:32 PM","@staff","",""
"531961213681270794","Spylee01#9961","19-Jan-20 07:16 PM","hello @staff ? ^^","",""
"393854278764068875","curiouskiwi#1671","19-Jan-20 10:32 PM","there's only the one version (at the end) of the distro code.","",""
"165837829287575552","September#5047","13-Feb-20 06:21 PM","Hi, I've made sure to re-check my code with the tutorial in mario0, but I can't seem to figure out why my screen has this odd lines. Is this a hardware issue?","https://cdn.discordapp.com/attachments/661709059702915082/677549932000837634/unknown.png",""
"342054148012769284","kappilino#9875","07-Mar-20 02:25 PM","Have the same issue. But it occures only when the the map moves.","",""
"342054148012769284","kappilino#9875","07-Mar-20 02:32 PM","No, now after programming the translate function it occures also on the not animated version. Even if i comment all the animation functionality out. Very weird.","",""
"342054148012769284","kappilino#9875","07-Mar-20 02:48 PM","OK...i have found the issue. The initialization of the map object must be after the setDefaultFilter function. In mario0 the the initialization is before it. I do not know why it works there, but not in our versions.","",""
"342054148012769284","kappilino#9875","09-Mar-20 02:09 PM","Next problem in mario3. If I generate the world in the map class, in the while function creates always a gap on the last position on the right of the map. Because the condition x < self.mapWidth is false there. 
A second problem, the else clause at the end of the loop, which creates a 2 tile gap, is theoretically capable of creating an endless gap. Because there is no condition that prevent to generate one 2-tile-gap after a 2-tile-gap.","",""
"599198875806334986","Hades#2274","14-Mar-20 02:18 PM","When you make the pyramid in the assignment, Would i be made out of the bricks tile? Because the spritesheet provided in the distribution file doesn't have a tile similar to the tiles seen in the marion10 video.","",""
"677215146694803458","pbrouse#8651","30-Mar-20 03:58 PM","@Hades This is my assumption and how I am working on doing it. I haven’t seen anything stating otherwise","",""
"418804878656274434","SvejKelej#4184","01-Apr-20 08:18 PM","@brian i would like to study some arabic please🇸🇦","",""
"104640431534383104","Ripley#2540","04-Apr-20 04:13 PM","I'm just starting with mario0 so maybe this question is answered down the line, but we're filling half the screen with blank and half the screen with bricks","",""
"104640431534383104","Ripley#2540","04-Apr-20 04:13 PM","But on the image we se like 80% blank and 20% bricks","",""
"104640431534383104","Ripley#2540","04-Apr-20 04:13 PM","that means we have map offscreen?","",""
"104640431534383104","Ripley#2540","04-Apr-20 04:14 PM","Like, bricks should continue where the red lines are?","https://cdn.discordapp.com/attachments/661709059702915082/695984576350257212/unknown.png",""
"387292479675826176","omarbeendeaded#8736","05-Apr-20 11:42 PM","@staff in mario7 I think he forgets to set dx to zero if no button was pressed","",""
"387292479675826176","omarbeendeaded#8736","05-Apr-20 11:42 PM","So when you press one button it just continues on its own","",""
"304690705996054528","Krish12003#8752","11-Apr-20 04:19 AM","```Error

Map.lua:34: attempt to index local 'self' (a number value)


Traceback

Map.lua:34: in function 'getTile'
Map.lua:43: in function 'render'
main.lua:36: in function 'draw'
[C]: in function 'xpcall'```

```lua
function Map:getTile(x, y)
    return self.tiles[(y - 1) * self.mapWidth + x]
end
```

Why am I getting this error?","",""
"304690705996054528","Krish12003#8752","11-Apr-20 04:19 AM","my tiles object is defined as follows: `self.tiles = {}`","",""
"304690705996054528","Krish12003#8752","11-Apr-20 04:19 AM","I'm just following allong Mario 0","",""
"304690705996054528","Krish12003#8752","11-Apr-20 11:27 PM","I figured it out, when I was calling the function I was using `.` instead of `:`","",""
"553279963894382622","novikorisnik#3534","12-Apr-20 02:06 AM","can I have a little help with Mario problem set here? I have two issues, one is a bug with drawing pyramid and one issue is related to flag animation","",""
"553279963894382622","novikorisnik#3534","12-Apr-20 02:10 AM","sometimes I have pyramid like this, or with one tile block less, but I can't figure it out why","https://cdn.discordapp.com/attachments/661709059702915082/698671305876176987/Super_Mario_50.png",""
"684652492256051221","asmat#3174","17-Apr-20 02:19 PM","Error

Map.lua:12: attempt to call field 'tiles' (a nil value)


Traceback

Map.lua:12: in function 'init'
Class.lua:75: in function 'Map'
main.lua:15: in function 'load'
[C]: in function 'xpcall'
[C]: in function 'xpcall'","",""
"684652492256051221","asmat#3174","17-Apr-20 02:19 PM","i am at mario0","",""
