AuthorID,Author,Date,Content,Attachments,Reactions
"372637391288139786","Sourav#0281","01-Jan-20 11:26 AM","Hello!! 👋","",""
"489113470281973760","gonefishing★#0147","05-Jan-20 07:44 AM","I want to note that submit50 is looking for ""Main.lua"", not ""main.lua"" and this seems like a good place to do that","",""
"489113470281973760","gonefishing★#0147","05-Jan-20 07:45 AM","i had to rename my main.lua, but thats fine","",""
"489113470281973760","gonefishing★#0147","05-Jan-20 07:46 AM","You staff people should probably fix that 🙂","",""
"393854278764068875","curiouskiwi#1671","21-Jan-20 08:14 AM","@gonefishing★ thanks for that. we've fixed it.","","👍 (2)"
"132563772987408385","brianboyko#4460","21-Jan-20 10:47 PM","Just an FYI Love.11.0 and greater: love.graphics.clear(r, g, b, a) takes 0.0 - 1.0 floats instead of 0-255 ints for R, G, B, and A values.","",""
"132563772987408385","brianboyko#4460","21-Jan-20 10:48 PM","I think this might not be the only snag, so I'll keep you updated as I go through it.","",""
"132563772987408385","brianboyko#4460","21-Jan-20 10:48 PM","https://love2d.org/wiki/love.graphics.clear","",""
"393854278764068875","curiouskiwi#1671","21-Jan-20 11:01 PM","Not sure what you mean by ""snag""?  Colton explains that in the lecture. (pong2)","https://cdn.discordapp.com/attachments/661709026811183130/669285367282794516/pong2.png",""
"393854278764068875","curiouskiwi#1671","21-Jan-20 11:54 PM","@brianboyko ^^","",""
"132563772987408385","brianboyko#4460","21-Jan-20 11:55 PM","Ah, yes, well if you pass in values from 1-255 now in Love 11.0 or later, it will read that as >= 1 and render a pure white screen, the 1-255 has been depreciated and no longer works.","",""
"132563772987408385","brianboyko#4460","21-Jan-20 11:55 PM","The line ```
    love.graphics.clear(40/255, 45/255, 52/255, 1)
```
works perfectly","",""
"132563772987408385","brianboyko#4460","21-Jan-20 11:55 PM","actually, that should probably be 256","",""
"132563772987408385","brianboyko#4460","21-Jan-20 11:56 PM","nah, 0 is a valid value...","",""
"132563772987408385","brianboyko#4460","21-Jan-20 11:56 PM","40/255 etc.","",""
"393854278764068875","curiouskiwi#1671","21-Jan-20 11:56 PM","yes, it has been deprecated, but no one in CS50x should be using an old version","",""
"132563772987408385","brianboyko#4460","21-Jan-20 11:56 PM","Oh, no, not the students.  The course lecture itself uses the old version","",""
"393854278764068875","curiouskiwi#1671","21-Jan-20 11:58 PM","? if that was the case, then surely this wouldn't work.","https://cdn.discordapp.com/attachments/661709026811183130/669299790705590275/pong2lecture.png",""
"132563772987408385","brianboyko#4460","21-Jan-20 11:58 PM","O","",""
