AuthorID,Author,Date,Content,Attachments,Reactions
"619566580233142278","miracl2073#5877","21-Jan-20 09:53 AM","Hi","","🇭 (4),🇮 (4),👋 (3)"
"592154145239072769","Vivek#8814","22-Jan-20 04:20 PM","Hi","","🇭 (4),🇮 (4),👋 (3)"
"492450454341550100","WhipStreak23#6131","22-Jan-20 04:21 PM","Hi","","🇭 (4),🇮 (4),👋 (3)"
"575580654352334848","Dhairye Kataria#8587","29-Jan-20 05:12 PM","Hey guys just started watching lesson 1. Hope to join you all soon","",""
"558812567678484500","ambergristle#9460","02-Feb-20 09:19 PM","I've started on the UserDefaults task. I've tried implementing in the PokemonViewController, but data isn't saved when I back out to the PokemonListViewController. I may be doing something wrong, but it seems as though UserDefaults needs to be implemented in ListView, and updated on return from View. I'm unsure how to send data back though; do I just use the existing segue?","",""
"575580654352334848","Dhairye Kataria#8587","04-Feb-20 10:14 PM","Well is this with everybody or just with me ? The Pokedex project has one more file named SceneDelegate.swift than shown in the tutorial","",""
"662088335866462211","violinmaster27#8110","10-Feb-20 09:30 PM","Hi all! I'm getting an error when I write out searchBar.delegate = self. It's saying the value of type has no member 'delegate', anyone know what I'm doing wrong?","",""
"575580654352334848","Dhairye Kataria#8587","16-Feb-20 04:06 PM","I am having the same problem","",""
"575580654352334848","Dhairye Kataria#8587","16-Feb-20 04:07 PM","I searched on stackoverflow and i guess that we have make the variable an instance of some method or function","",""
"575580654352334848","Dhairye Kataria#8587","16-Feb-20 04:42 PM","I got the solution lol","",""
"575580654352334848","Dhairye Kataria#8587","16-Feb-20 04:43 PM","I was using searchBar variable as a uiview element","",""
"575580654352334848","Dhairye Kataria#8587","16-Feb-20 04:44 PM","just changed it to UISearchBar","",""
"627049392121053194","seancs50#5979","21-Feb-20 02:47 AM","Implement a simple search function....are we supposed to have covered this somewhere previously... I have followed 2019 course?","",""
"393854278764068875","curiouskiwi#1671","21-Feb-20 02:49 AM","did you do 2020 week 3?  (which is required for everyone?)","",""
"627049392121053194","seancs50#5979","21-Feb-20 03:11 AM","Not yet!  I did everything new required  for 2020 course except the project as my ideas are still evolving(too slowly!) So I decided to do the ios track as an extra. I figured going back to the new pset 3 would be  a (relatively) simple task to do on the fly.","",""
"393854278764068875","curiouskiwi#1671","21-Feb-20 03:12 AM","week 3 did searching","",""
"627049392121053194","seancs50#5979","21-Feb-20 03:14 AM","I'll get to it!","",""
"627049392121053194","seancs50#5979","21-Feb-20 03:15 AM","Thankyou again. It's really great that you seem so often available  to help","",""
"627049392121053194","seancs50#5979","21-Feb-20 02:52 PM","We used a search function in quite a few psets looking back ..what I have found with swift is very different!","",""
"680394335736561675","Odai#4922","21-Feb-20 03:07 PM","Hello","",""
"575580654352334848","Dhairye Kataria#8587","22-Feb-20 05:20 PM","i've managed to search with the first letter but i couldn't search by using substrings","",""
"575580654352334848","Dhairye Kataria#8587","22-Feb-20 05:21 PM","i am confused that if there's an inbuilt method or i've to declare another function and write the logic for that","",""
"575580654352334848","Dhairye Kataria#8587","24-Feb-20 03:40 AM","I am confused how to do this the swift way","",""
"678377940030980120","ziller#6589","02-Mar-20 06:05 PM","woof","",""
"678377940030980120","ziller#6589","02-Mar-20 06:05 PM","so um","",""
"678377940030980120","ziller#6589","02-Mar-20 06:05 PM","this is a bit of an uptick in difficulty then?!","",""
"678377940030980120","ziller#6589","02-Mar-20 06:07 PM","I think I might be overreaching with this...","",""
"678377940030980120","ziller#6589","02-Mar-20 06:08 PM","tempted to slide to the web track where I'm on more familiar ground... but well, was planning to attempt all three tracks as... free learning...","",""
"575580654352334848","Dhairye Kataria#8587","02-Mar-20 07:40 PM","lol i got it now","",""
"575580654352334848","Dhairye Kataria#8587","02-Mar-20 07:40 PM","there's an inbuilt function to do that","",""
