AuthorID,Author,Date,Content,Attachments,Reactions
"275290463995691009","Logic#2180","08-Jan-20 10:40 PM","I have no ideia what to build lol","",""
"333930283101323264","Anya L#2162","10-Jan-20 04:04 AM","You got any hobbies? Or things that you enjoy and know lots about?","",""
"634578357371011092","beinginvisible#2912","16-Jan-20 07:29 PM","Can someone offer advice or a good tutorial on how to use pure JS with bootstrap radio buttons? (I believe the course uses pure JS instead of jQuery, which seems to be much more popular.)","",""
"541008695279091714","Alek#1695","19-Jan-20 12:01 AM","We did the 'Homepage' in 2019 pset5, do we have to do it all over again?","",""
"393854278764068875","curiouskiwi#1671","19-Jan-20 01:01 AM","No","","😎 (1)"
"109970729109323776","jackshow#0001","30-Jan-20 03:22 PM","Can these videos be uploaded to youtube?","",""
"109970729109323776","jackshow#0001","30-Jan-20 03:23 PM","Obviously I will watch them anyway on edx's site, but - it'd be great if they were also on youtube, like the lectures","",""
"109970729109323776","jackshow#0001","30-Jan-20 03:23 PM","I can't skip around with the video player on edx, its randomly timing out every ~20 minutes, etc","",""
"234679095378706433","Blauelf#6622","30-Jan-20 04:01 PM","@jackshow Do you mean the videos at https://cs50.harvard.edu/x/2020/tracks/web/ ?","",""
"109970729109323776","jackshow#0001","30-Jan-20 04:02 PM","yeah","",""
"234679095378706433","Blauelf#6622","30-Jan-20 04:02 PM","Those are embedded youtube videos.","",""
"109970729109323776","jackshow#0001","30-Jan-20 04:02 PM","ah, this is a different link than i had","",""
"109970729109323776","jackshow#0001","30-Jan-20 04:02 PM","tyty","",""
"109970729109323776","jackshow#0001","30-Jan-20 04:03 PM","lol","",""
"109970729109323776","jackshow#0001","30-Jan-20 04:03 PM","I had this player","https://cdn.discordapp.com/attachments/661709455582560296/672441796906844181/unknown.png",""
"109970729109323776","jackshow#0001","30-Jan-20 04:04 PM","dunno how you got your link, but thats exactly what i wanted","",""
"234679095378706433","Blauelf#6622","30-Jan-20 04:08 PM","It's the opencourseware version, outside of edx.","",""
"234679095378706433","Blauelf#6622","30-Jan-20 04:09 PM","Since they don't track progress on edX, you could use any version.","",""
"109970729109323776","jackshow#0001","30-Jan-20 04:10 PM","can you link me where you found it?","",""
"234679095378706433","Blauelf#6622","30-Jan-20 04:30 PM","Somewhere this link was, the main page is https://cs50.harvard.edu/x/2020/","",""
"676463066942144512","drail159#6376","12-Feb-20 03:22 AM","I'm feeling pretty down about this one. All I wanted to do was to add a sidebar under my header that could scroll and would stretch from the bottom of my header to the bottom of the page and I couldn't figure out how to do that, so I just cut the sidebar and made a horizontal nav bar at the top instead. But the fact that I couldn't figure it out is really discouraging. I've been programming in python and c# for more than 10 years but for some reason when it comes to html and css I just can't get my head around it. Any one feel the same way or is that just me?","",""
"393854278764068875","curiouskiwi#1671","12-Feb-20 03:34 AM","✋","",""
"676463066942144512","drail159#6376","12-Feb-20 03:44 AM","Good to know I'm not alone. Thanks.","",""
"376187384376852481","YoYoO#2555","18-Feb-20 04:55 AM","Are there source code for what Brian has in his videos?","",""
"376187384376852481","YoYoO#2555","18-Feb-20 05:46 AM","Why is this line not being commented out? The form is `<!--....-->`, no?","https://cdn.discordapp.com/attachments/661709455582560296/679171840685637652/2.PNG",""
"393854278764068875","curiouskiwi#1671","18-Feb-20 05:48 AM","is that a CSS file?  `/* this is a comment */`","","👍 (1)"
"376187384376852481","YoYoO#2555","18-Feb-20 07:38 AM","I'm trying to implement a button that when clicked shows a picture. Any ideas why the picture isn't showing on click?","https://cdn.discordapp.com/attachments/661709455582560296/679200092644835328/3.PNG",""
"376187384376852481","YoYoO#2555","18-Feb-20 07:39 AM","Inside the query selector I have `('img')` is that where the problem lies?","",""
