AuthorID,Author,Date,Content,Attachments,Reactions
"84197211113533440","Trainermax#4196","02-Jan-18 01:22 AM","so... you take cs50 then take the ap computer science test?","",""
"393854278764068875","curiouskiwi#1671","02-Jan-18 01:31 AM","AP Computer Science Principles.  Yes.  CS50AP is currently running in a hundred (or maybe more?) high schools this school year.  The exam is in May.","",""
"84197211113533440","Trainermax#4196","02-Jan-18 05:57 AM","I dislike how it's designed 😦","",""
"84197211113533440","Trainermax#4196","02-Jan-18 05:58 AM","Less time spent on psets, more time spent on watching videos and reading text about some unique problem","",""
"84197211113533440","Trainermax#4196","02-Jan-18 05:59 AM","Would finishing regular cs50 also classify me as ready for the ap exam?","",""
"393854278764068875","curiouskiwi#1671","02-Jan-18 06:00 AM","To be fair, it's not really designed for self-study, but it's been put on edX to be accessible to those who don't have high school classes.","",""
"393854278764068875","curiouskiwi#1671","02-Jan-18 06:01 AM","You'd have to check with your school about the AP exam, because AP CS Principles has both the exam plus other written essay requirements.","",""
"161273615575285760","HardBoiled#5675","08-Jan-18 12:07 AM","Hello!","",""
"161273615575285760","HardBoiled#5675","08-Jan-18 12:07 AM","I'm taking APCS50 on edX and I'm gonna try the test in may - just starting the course today!","",""
"161273615575285760","HardBoiled#5675","08-Jan-18 12:53 AM","Hey guys - I have a question. According to the AP site, the APCSP test requires an Explore and a Create task. Does the class have any guidance/problems that qualify for this, or do I just have to do this on my own?","",""
"161273615575285760","HardBoiled#5675","08-Jan-18 12:54 AM","@curiouskiwi since you're staff I thought you might know the answer to my question 😃","",""
"393854278764068875","curiouskiwi#1671","08-Jan-18 01:03 AM","@HardBoiled not my area of expertise, but I'll ask and see.  I do know that in order to take the exam, you'll have to coordinate with a high school that will 'sponsor' you.","",""
"161273615575285760","HardBoiled#5675","08-Jan-18 01:11 AM","@curiouskiwi Yup, my high school is letting me take the APE there","",""
"393854278764068875","curiouskiwi#1671","08-Jan-18 01:18 AM","@HardBoiled I'll let you know when I find out. 😃","",""
"161273615575285760","HardBoiled#5675","08-Jan-18 01:56 AM","@curiouskiwi Thank you so much 😄","",""
"393854278764068875","curiouskiwi#1671","08-Jan-18 01:57 AM","@HardBoiled no problem. Hope to have an answer for you tomorrow.","",""
"393854278764068875","curiouskiwi#1671","08-Jan-18 10:38 PM","@HardBoiled (and everyone else taking CS50APx), here are the updated instructions.  https://docs.cs50.net/2017/x/ap/references/instructions/instructions.html     In the  CS50APx course, there are both programming assignments and written assignments.  Those written assignments, particularly, should be useful in preparing to do the Explore and Create tasks (which are linked in the instructions).","",""
"161273615575285760","HardBoiled#5675","09-Jan-18 12:52 AM","@curiouskiwi Thank you! I do have one question - does the course itself assign/help with the tasks or are they to be done independintly.","",""
"393854278764068875","curiouskiwi#1671","09-Jan-18 12:53 AM","@HardBoiled independently","",""
"161273615575285760","HardBoiled#5675","09-Jan-18 12:54 AM","Cool, thanks!","",""
"403210558104666113","eclark#5163","23-Jan-18 01:19 AM","to get the certificate for the class do we have to finish all assignments by April 30th?","",""
"393854278764068875","curiouskiwi#1671","23-Jan-18 01:25 AM","@eclark yes, the course deadline for the current CS50APx is Apr 30, 2018.","",""
"393854278764068875","curiouskiwi#1671","23-Jan-18 01:26 AM","I see that that is not mentioned on the edX page itself, so, saying that, I will confirm that and post back here to confirm.","",""
"403210558104666113","eclark#5163","23-Jan-18 08:00 AM","was it confirmed? @curiouskiwi","",""
"393854278764068875","curiouskiwi#1671","23-Jan-18 08:56 AM","@eclark haven't heard back yet.  It's the middle of the night in Cambridge. 😃","",""
"393854278764068875","curiouskiwi#1671","23-Jan-18 08:57 AM","so probably tomorrow.","",""
"393854278764068875","curiouskiwi#1671","23-Jan-18 09:53 PM","@clarky103#5163 I've confirmed that the deadline is still 30 Apr 2018.  See the instructions page as well:  https://docs.cs50.net/2017/x/ap/references/instructions/instructions.html","",""
"403210558104666113","eclark#5163","01-Feb-18 04:25 AM","When I’m trying to do the Fahrenheit problem and do get_string  it will say “undefined reference to ‘get_string’ “ and at the top put in include <cs50.h>","",""
"403210558104666113","eclark#5163","01-Feb-18 04:26 AM","I copy and pasted word for word an example from the notes and it said the same thing when I did clang","",""
"393854278764068875","curiouskiwi#1671","01-Feb-18 04:27 AM","did you run `make`?","",""
"393854278764068875","curiouskiwi#1671","01-Feb-18 04:27 AM","`make fahrenheit`","",""
"399126045636427776","Hussein#6023","01-Feb-18 05:16 PM","Hello guys","",""
"399126045636427776","Hussein#6023","01-Feb-18 05:17 PM","Anyone can help me  in assignment  submition ?","",""
"393854278764068875","curiouskiwi#1671","01-Feb-18 10:04 PM","Hi @Hussein  what's your question about submission?","",""
"399126045636427776","Hussein#6023","01-Feb-18 10:06 PM","I submit the first one about ""house devices""  on github","",""
"399126045636427776","Hussein#6023","01-Feb-18 10:07 PM","that enouth","https://cdn.discordapp.com/attachments/397511855091875842/408715017991618566/unknown.png",""
