AuthorID,Author,Date,Content,Attachments,Reactions
"257888406925737984","fharoe#9657","25-Jan-18 08:32 PM","First 🙄","",""
"392298840058888192","Alonso#9569","30-Jan-18 01:57 PM","second","",""
"274604147939213313","Abhijeet Singh#0615","31-Jan-18 09:40 AM","third","",""
"232215051052908545","QParticle#9469","01-Feb-18 04:48 AM","first","",""
"232215051052908545","QParticle#9469","01-Feb-18 04:49 AM","wait","",""
"352628480006946816","CPU#9457","02-Feb-18 11:02 AM","I enjoyed this short course","",""
"352628480006946816","CPU#9457","02-Feb-18 03:15 PM","have you gotten your results back yet? edit 8 march: now i have","",""
"358253637429886988","PerfectlyBalanced#1021","18-Mar-18 05:17 PM","6th","",""
"331360434567380995","DiscordBay#6583","01-Apr-18 10:13 PM","Why the number? Never mind, seventh Lol😁","","💩 (2)"
"229789186188771338","REX MASTER#1598","02-Apr-18 06:33 PM","@staff i mest up some thing on my check50 and don't no how to fix","",""
"393854278764068875","curiouskiwi#1671","02-Apr-18 11:12 PM","@REX MASTER  the CS50 Technology course doesn't use check50.  Are you doing CS50x?  Please ask your question in the problem channel for the pset problem you are currently doing.","",""
"229789186188771338","REX MASTER#1598","03-Apr-18 12:26 AM","OK","",""
"454728374519201793","Laiba#5699","09-Jun-18 06:27 PM","How can I attend sections and what is this for? Please guide me.","https://cdn.discordapp.com/attachments/401110306094317579/455030074270547978/unknown.png",""
"393854278764068875","curiouskiwi#1671","10-Jun-18 03:51 AM","What course is that? It looks like a Harvard Extension school course.","",""
"393854278764068875","curiouskiwi#1671","10-Jun-18 03:52 AM","If you are doing CS50 Technology, it is on edx here: https://courses.edx.org/courses/course-v1:HarvardX+CS50T+Technology/course/","",""
"454728374519201793","Laiba#5699","10-Jun-18 03:44 PM","In CS50 Understanding Technology, I have to submit only 6 assignments and there is no exam in it?","",""
"393854278764068875","curiouskiwi#1671","10-Jun-18 11:26 PM","That's correct.  Watch 6 lectures and complete 6 assignments.  https://docs.cs50.net/technology/2018/x/syllabus.html","","👍 (1),👌 (1)"
"454728374519201793","Laiba#5699","27-Jun-18 04:30 PM","Hello! It's have been two weeks since I submitted my two assignments. Do you have any idea when will I get their results?","",""
"256081335762812928","aBooDyy#9543","01-Jul-18 04:06 PM","how do i open the terminal  window in windows 10? im in the git lecture and i need to open this window to get the GitHub repository","",""
"238974731817189377","jimwin#0996","01-Jul-18 04:08 PM","terminal is a unix thing. you could try installing ubuntu bash from windows store","",""
"256081335762812928","aBooDyy#9543","01-Jul-18 04:09 PM","i saw this video <https://www.youtube.com/watch?v=Ts3Je2jeK0c> but i dont think i should do that..","",""
"238974731817189377","jimwin#0996","01-Jul-18 04:10 PM","https://www.microsoft.com/en-au/p/ubuntu/9nblggh4msv6#","",""
"238974731817189377","jimwin#0996","01-Jul-18 04:10 PM","try that, i haven't used it before so i dont know how good it is","",""
"238974731817189377","jimwin#0996","01-Jul-18 04:10 PM","you can also install git for windows","",""
"238974731817189377","jimwin#0996","01-Jul-18 04:10 PM","i think it has its own shell that you can use","",""
"256081335762812928","aBooDyy#9543","01-Jul-18 04:11 PM","ok tysm will try that","",""
"238974731817189377","jimwin#0996","01-Jul-18 04:11 PM","also this:
https://gitforwindows.org/","",""
"256081335762812928","aBooDyy#9543","01-Jul-18 04:13 PM","i need one right? cuz in Ubuntu features theres bash and thats what i need i think..","",""
"256081335762812928","aBooDyy#9543","01-Jul-18 04:13 PM","cuz the teacher opened that in the lecture ..","",""
"256081335762812928","aBooDyy#9543","01-Jul-18 04:14 PM","and thank you so much for helping me 😁","",""
"315162191781298176","ChTBoner#4038","01-Jul-18 04:19 PM","if I were you I would use the Ubuntu port on the windows store, or run ubuntu on a Virtual Machine","","👍 (2)"
"256081335762812928","aBooDyy#9543","01-Jul-18 04:21 PM","i heard about it before that its good and everyone use it so i think i will too 😄","",""
