AuthorID,Author,Date,Content,Attachments,Reactions
"232215051052908545","QParticle#9469","20-Feb-18 05:18 AM","ha first","",""
"232215051052908545","QParticle#9469","20-Feb-18 05:18 AM","Wow I've never been first","",""
"232215051052908545","QParticle#9469","20-Feb-18 05:18 AM","What do I do, there are so many possibilities","",""
"329977469350445069","Lord of Galaxy#9211","20-Feb-18 10:15 AM","Second!","",""
"382561130834558976","the king#1961","21-Feb-18 03:02 PM","Lol wassup","",""
"232215051052908545","QParticle#9469","15-Aug-18 06:35 AM","","https://cdn.discordapp.com/attachments/395684563109543939/479131075956703237/hapy_armkay.png",""
"112625916781277184","yama#2710","15-Aug-18 06:39 AM","ooh nice","",""
"112625916781277184","yama#2710","15-Aug-18 06:39 AM","i'm still stuck on powerup :GWseremePeepoF:","",""
"213685480422768641","olaf#2014","01-Sep-18 03:23 PM","They there, I've got my scores but don't have the ""Congratulations"" banner showing up. Is it because my scores were transferred form previous year?","",""
"112625916781277184","yama#2710","01-Sep-18 07:05 PM","i forgot about this channel lol","",""
"112625916781277184","yama#2710","01-Sep-18 07:15 PM","I cant figure out why powerups behaves different than balls. When I print the balls it prints a table, but when i print the powerup it prints a table *and* x and y or something like that","",""
"112625916781277184","yama#2710","01-Sep-18 07:19 PM","ah, i got it","",""
"371575991316774912","Renner#8310","31-Oct-18 08:41 PM","so for one of the parts of the assignment where you change the size of the paddle according to your health or score (i choose  health) I'm having trouble with which variable to use that represents health cause the one I'm currently using keeps spiting out an error","",""
"399021249667399722","harbar20#9389","31-Oct-18 11:52 PM","@Renner what's the error?","",""
"214924888157323265","IInedibleEndd#1999","05-Nov-18 09:10 PM","trying to assign health a nil value","",""
"262678935760928768","Omega907#5363","05-Nov-18 09:16 PM","The main problem is figuring out how to get health to be able to change the size of the paddle depending on how many hearts you have.","",""
