AuthorID,Author,Date,Content,Attachments,Reactions
"329977469350445069","Lord of Galaxy#9211","26-Dec-18 10:37 AM","So many new channels","",""
"450796031131779087","gravywave#7935","26-Dec-18 10:37 AM","so many spam","",""
"329977469350445069","Lord of Galaxy#9211","26-Dec-18 10:38 AM","Wdym?","",""
"450796031131779087","gravywave#7935","26-Dec-18 10:39 AM","is this for cs50 2019?","",""
"393854278764068875","curiouskiwi#1671","26-Dec-18 11:44 AM","Yes, just as the channel description says. 😃","",""
"300110246238486530","Mr. Distinguished#9941","28-Dec-18 07:50 AM","oh, so very excited for 2019 now!","",""
"450796031131779087","gravywave#7935","28-Dec-18 07:51 AM","looks like a new pset","",""
"300110246238486530","Mr. Distinguished#9941","05-Jan-19 05:20 PM","Working on this one now. Pretty fun for sure. I like that this was added in. There is alot of new syntax to get used to. Js is a little confusing to me for sure.","",""
"304394886529024001","Mxlt08#0159","06-Jan-19 12:35 AM","hey guys. Got a question. Doing the website I wanted to post an image but it's downloaded from google images (just some image I found). does the copyright thing matter?","",""
"300110246238486530","Mr. Distinguished#9941","06-Jan-19 05:19 PM","https://support.google.com/websearch/answer/29508?hl=en","","😄 (1)"
"300110246238486530","Mr. Distinguished#9941","06-Jan-19 05:19 PM","This can help","",""
"109766394760921088","Etiquette#8290","09-Jan-19 04:56 AM","I would take a look at https://unsplash.com/ or https://www.pexels.com/","","😄 (1)"
"109766394760921088","Etiquette#8290","09-Jan-19 04:56 AM","if you just need a lot of photos","",""
"329977469350445069","Lord of Galaxy#9211","09-Jan-19 06:38 PM","Only use photos after finding out what copyright they have","","😄 (1)"
"329977469350445069","Lord of Galaxy#9211","09-Jan-19 06:38 PM","I like the CC (Creative Commons) licenses as they're easy to understand","",""
"300110246238486530","Mr. Distinguished#9941","10-Jan-19 03:28 AM","Would it be considered normal for a website to have multiple style sheets, ie: one for each page? Or is this sort of thing considerd bad design?","",""
"393854278764068875","curiouskiwi#1671","10-Jan-19 03:30 AM","the advantage to style sheets is that you can change a style globally (across all your pages) by only changing it once.  You would lose that if you had separate sheets for each page.","",""
"329977469350445069","Lord of Galaxy#9211","10-Jan-19 06:19 AM","You can have one global style sheet that decides the general design of the website, and some smaller separate style sheets for whatever is used by only a single page","",""
"329977469350445069","Lord of Galaxy#9211","10-Jan-19 06:19 AM","Global style sheets can save bandwidth too if used properly, as they're static files","",""
"234679095378706433","Blauelf#6622","13-Jan-19 10:29 AM","Attacking Homepage now. Feeling set back to the 90s, when I learnt HTML (no CSS around that time, but I *did* use `<blink>` and `<marquee>` as David said! Also, bright colours. And different JavaScript for Internet Explorer and Netscape Navigator)","",""
"234679095378706433","Blauelf#6622","13-Jan-19 10:34 AM","Layout by tables. Still a thing in emails.","",""
"234679095378706433","Blauelf#6622","13-Jan-19 10:34 AM","Just now with things like `margin` in CSS properties, not specific attributes.","",""
"234679095378706433","Blauelf#6622","13-Jan-19 10:35 AM","I used the GridBagLayout in Java Swing, which is very similar.","",""
"234679095378706433","Blauelf#6622","13-Jan-19 10:45 AM","Too bad Swing was not possible in applets, as those would not be compatible with the Microsoft Java VM (supporting 1.1.8 mostly, while Swing was a 1.2 addition - marketed as Java2 SDK 1.2)","",""
"234679095378706433","Blauelf#6622","13-Jan-19 10:46 AM","Yeah, the `homepage` problem seems a bit... old-fashioned and simple. But I have no idea how I would see it if I hadn't done HTML before.","",""
"234679095378706433","Blauelf#6622","13-Jan-19 10:49 AM","Maybe they want to avoid people doing table-based layouts 😛","",""
"234679095378706433","Blauelf#6622","13-Jan-19 10:51 AM","And using bootstrap, and using it properly, you don't have to do all those `@media` queries for a design that looks great on all device sizes.","",""
"234679095378706433","Blauelf#6622","13-Jan-19 10:56 AM","Wondering how this is graded. Not having `check50` suggests manual grading, but that wouldn't scale well.","",""
"234679095378706433","Blauelf#6622","13-Jan-19 11:06 AM","That's what I think. Just not sure why we can't have a `check50` then. But maybe automatic checks are already more load than average pset.","",""
"234679095378706433","Blauelf#6622","13-Jan-19 11:14 AM","Not sure whether to go Lorem ipsum, I would like to avoid it. Doing a page without a topic is... somewhat challenging in its own.

Also, I feel like copying bootstrap sample code without understanding half of their classes.","",""
"234679095378706433","Blauelf#6622","13-Jan-19 11:51 PM","Just submitted. The `check50` output is minimal, but I got 5/5 on correctness. I didn't even count the different HTML tags, should have been around 10. CSS-based layout means you no longer have tons of tables that boost the number of different elements by 3 (table, table row, table data)","",""
"234679095378706433","Blauelf#6622","13-Jan-19 11:52 PM","Uh-oh. Now only final project left, I did not procrastinate hard enough 😕","",""
"224937960431157260","Penderrin#5312","14-Jan-19 06:00 PM","Anyone know the code that gets executed, behind ""check50 cs50/2019/x/challenges/site""","",""
"397677328660037632","Maarten#1004","15-Jan-19 11:21 AM","@Penderrin you can find that on the FAQ page and github. Check these: https://github.com/cs50/check50 and https://github.com/cs50/checks/tree/master/cs50/2019/x","",""
"397677328660037632","Maarten#1004","15-Jan-19 11:27 AM","And the slug specific for site is here: https://github.com/cs50/checks/tree/master/cs50/2019/x/challenges/site","",""
"66419649960488960","IzaakDonaldson#2597","16-Jan-19 08:49 PM","Does an actual person mark the style of the homepage? or is there no style mark?","",""
"393854278764068875","curiouskiwi#1671","16-Jan-19 08:52 PM","everyone is given 5/5 for style since there  is no automated grader for html files.  (no actual person grades anything in CS50x)","",""
"66419649960488960","IzaakDonaldson#2597","16-Jan-19 08:52 PM","Ahh okay thanks","",""
"66419649960488960","IzaakDonaldson#2597","16-Jan-19 08:52 PM","Even the Final project isn't marked?","",""
"393854278764068875","curiouskiwi#1671","16-Jan-19 08:52 PM","that's correct","",""
"66419649960488960","IzaakDonaldson#2597","16-Jan-19 08:53 PM","Thanks!","",""
"393854278764068875","curiouskiwi#1671","17-Jan-19 10:09 AM","@! Ben https://www.npmjs.com/package/http-server","",""
"393854278764068875","curiouskiwi#1671","17-Jan-19 10:10 AM","with a custom wrapper, as I understand.","",""
"393854278764068875","curiouskiwi#1671","17-Jan-19 10:10 AM","https://github.com/cs50/ide50/blob/develop/files/home/ubuntu/.cs50/bin/http-server","",""
"393854278764068875","curiouskiwi#1671","17-Jan-19 10:11 AM","it's not covered in the course","",""
"393854278764068875","curiouskiwi#1671","17-Jan-19 10:11 AM","just used internally","",""
"300110246238486530","Mr. Distinguished#9941","18-Jan-19 03:25 PM","@curiouskiwi I deployed my website, and it says it was successful. But I get a 404 error as well as a security warning whenever I try and visit it.","",""
"234679095378706433","Blauelf#6622","18-Jan-19 07:08 PM","Security warning is less surprising, as you are probably using github pages, so certificate is for another server name. The other thing - have you specified a file name, or just the slash? Haven't tried the deploy myself, maybe I should.","",""
"300110246238486530","Mr. Distinguished#9941","18-Jan-19 07:25 PM","Ahhh that must be it then. I'll give it a go.","",""
"300110246238486530","Mr. Distinguished#9941","18-Jan-19 07:35 PM","@Blauelf still not working. Tried specifying and not specifying. Maybe I'll just resubmit.","",""
"300110246238486530","Mr. Distinguished#9941","18-Jan-19 07:37 PM","Tried multiple browsers as well.","",""
"234679095378706433","Blauelf#6622","18-Jan-19 08:00 PM","Not sure how deploy works, is there a `cs50/2019/x/challenges/site` branch in your https://github.com/check50/USERNAME repo? If so, https://check50.github.io/USERNAME/ might work.","",""
"234679095378706433","Blauelf#6622","18-Jan-19 08:25 PM","Ok, deployed and it's like you said, does not work. Deploying via phone is so annoying...","",""
"234679095378706433","Blauelf#6622","18-Jan-19 08:34 PM","Tried just slash, or with index.html, no luck.","",""
"234679095378706433","Blauelf#6622","18-Jan-19 08:37 PM","I have a username starting in upper-case, that can sometimes cause issues (domain names ignore case)","",""
"300110246238486530","Mr. Distinguished#9941","18-Jan-19 08:59 PM","Hmm well at least it's not just me.","",""
"234679095378706433","Blauelf#6622","18-Jan-19 09:17 PM","Do you have an all-lower-case user name? If so, it's not an issue with those.","",""
